,productGroup,asin,categories,categoryTree,rootCategory,nodepath,nodeID
22,Kitchen,B0000VLPBC,"[23772864011, 23870135011, 10755432011, 77182874011, 289720, 1261207011, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337647011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_3301'}, {'catId': 23772815011, 'name': 'Education'}, {'catId': 23772861011, 'name': 'Snacks & Beverages'}, {'catId': 23772864011, 'name': 'Beverages'}]",265523,Home & Kitchen/Kitchen & Dining/Small Appliance Parts & Accessories/Coffee & Espresso Machine Parts & Accessories/Espresso Machine Accessories,1261207011.0
23,Home,B005TOWRQW,"[3731761, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063236, 'name': 'Bath'}, {'catId': 1063244, 'name': 'Towels'}, {'catId': 3731761, 'name': 'Towel Sets'}]",1055398,,
24,Furniture,B0033U4CFS,"[684541011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 21487702011, 'name': 'Rugs, Pads & Protectors'}, {'catId': 684541011, 'name': 'Area Rugs'}]",1055398,,
25,Kitchen,B004W4JGN2,"[82805923011, 3242818011, 13900811, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 77078574011, 'name': 'Glassware, Drinkware and Bar Equipment'}, {'catId': 82805921011, 'name': 'Beverage Serveware'}, {'catId': 82805923011, 'name': 'Iced Beverage Dispensers'}]",265523,,
26,Home Improvement,B001AHC654,"[344741011, 23479516011, 23682369011, 23689412011, 20683685011, 21590008011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063236, 'name': 'Bath'}, {'catId': 1063238, 'name': 'Bathroom Accessories'}, {'catId': 3731931, 'name': 'Bathtub Accessories'}, {'catId': 344741011, 'name': 'Drain Stoppers'}]",1055398,,
27,Furniture,B0029LHSJ4,"[3733851, 13900811, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063306, 'name': 'Furniture'}, {'catId': 5422303011, 'name': 'Game & Recreation Room Furniture'}, {'catId': 3734101, 'name': 'Home Bar Furniture'}, {'catId': 3733851, 'name': 'Barstools'}]",1055398,,
28,Home,B0040ME2VC,"[3735611, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 21557027011, 'name': 'Photo Albums, Frames & Accessories'}, {'catId': 1063286, 'name': 'Picture Frames'}, {'catId': 3735611, 'name': 'Wall & Tabletop Frames'}]",1055398,,
29,Kitchen,B001AG60R0,"[723482011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 901590, 'name': 'Event & Party Supplies'}, {'catId': 723481011, 'name': 'Tableware'}, {'catId': 723482011, 'name': 'Cups'}]",1055398,,
30,Kitchen,B007WQ9YNO,"[17938207011, 17938210011, 17938598011, 23705309011, 17938212011, 17938205011, 23627432011, 20965245011, 10755432011, 21467956011, 18505439011, 19820201011, 17938211011, 18327717011, 17938208011, 17938214011, 20621725011, 678540011, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337659011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_5001'}, {'catId': 17938207011, 'name': 'Best Sellers in Taiwan'}]",265523,,
31,Home,B000FGI254,"[13749791, 18715717011, 19456253011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063236, 'name': 'Bath'}, {'catId': 1063238, 'name': 'Bathroom Accessories'}, {'catId': 3731971, 'name': 'Holders & Dispensers'}, {'catId': 13749781, 'name': 'Dispensers'}, {'catId': 13749791, 'name': 'Shower Dispensers'}]",1055398,,
